Operating Airline,GEO Summary,GEO Region,Activity Type Code,Passenger Count,Year,Month
ATA Airlines,Domestic,US,Deplaned,27271,2005,7
ATA Airlines,Domestic,US,Enplaned,29131,2005,7
ATA Airlines,Domestic,US,Thru / Transit,5415,2005,7
Air Canada,International,Canada,Deplaned,35156,2005,7
Air Canada,International,Canada,Enplaned,34090,2005,7
Air China,International,Asia,Deplaned,6263,2005,7
Air China,International,Asia,Enplaned,5500,2005,7
Air France,International,Europe,Deplaned,12050,2005,7
Air France,International,Europe,Enplaned,11638,2005,7
Air New Zealand,International,Australia / Oceania,Deplaned,4998,2005,7
Air New Zealand,International,Australia / Oceania,Enplaned,4962,2005,7
AirTran Airways,Domestic,US,Deplaned,8055,2005,7
AirTran Airways,Domestic,US,Enplaned,7984,2005,7
Alaska Airlines,Domestic,US,Deplaned,36641,2005,7
Alaska Airlines,Domestic,US,Enplaned,39379,2005,7
Alaska Airlines,Domestic,US,Thru / Transit,3678,2005,7
Alaska Airlines,International,Canada,Deplaned,7977,2005,7
Alaska Airlines,International,Canada,Enplaned,8837,2005,7
Alaska Airlines,International,Mexico,Deplaned,6969,2005,7
Alaska Airlines,International,Mexico,Enplaned,10046,2005,7
Alaska Airlines,International,Mexico,Thru / Transit,2266,2005,7
All Nippon Airways,International,Asia,Deplaned,6545,2005,7
All Nippon Airways,International,Asia,Enplaned,6094,2005,7
American Airlines,Domestic,US,Deplaned,166577,2005,7
American Airlines,Domestic,US,Enplaned,160890,2005,7
American Eagle Airlines,Domestic,US,Deplaned,5493,2005,7
American Eagle Airlines,Domestic,US,Enplaned,5213,2005,7
Asiana Airlines,International,Asia,Deplaned,5041,2005,7
Asiana Airlines,International,Asia,Enplaned,4744,2005,7
Atlantic Southeast Airlines,Domestic,US,Deplaned,1552,2005,7
Atlantic Southeast Airlines,Domestic,US,Enplaned,1484,2005,7
BelAir Airlines,International,Europe,Deplaned,325,2005,7
BelAir Airlines,International,Europe,Enplaned,545,2005,7
British Airways,International,Europe,Deplaned,20632,2005,7
British Airways,International,Europe,Enplaned,21686,2005,7
Cathay Pacific,International,Asia,Deplaned,11010,2005,7
Cathay Pacific,International,Asia,Enplaned,9628,2005,7
China Airlines,International,Asia,Deplaned,13638,2005,7
China Airlines,International,Asia,Enplaned,11255,2005,7
Delta Air Lines,Domestic,US,Deplaned,97510,2005,7
Delta Air Lines,Domestic,US,Enplaned,93791,2005,7
EVA Airways,International,Asia,Deplaned,14142,2005,7
EVA Airways,International,Asia,Enplaned,12132,2005,7
Frontier Airlines,Domestic,US,Deplaned,19234,2005,7
Frontier Airlines,Domestic,US,Enplaned,18368,2005,7
Hawaiian Airlines,Domestic,US,Deplaned,7579,2005,7
Hawaiian Airlines,Domestic,US,Enplaned,7658,2005,7
Horizon Air,Domestic,US,Deplaned,5284,2005,7
Horizon Air,Domestic,US,Enplaned,5257,2005,7
Icelandair (Inactive),International,Europe,Deplaned,4540,2005,7
Icelandair (Inactive),International,Europe,Enplaned,4341,2005,7
Independence Air,Domestic,US,Deplaned,10843,2005,7
Independence Air,Domestic,US,Enplaned,10967,2005,7
Japan Airlines,International,Asia,Deplaned,9195,2005,7
Japan Airlines,International,Asia,Enplaned,9086,2005,7
KLM Royal Dutch Airlines,International,Europe,Deplaned,9978,2005,7
KLM Royal Dutch Airlines,International,Europe,Enplaned,9587,2005,7
Korean Air Lines,International,Asia,Deplaned,6153,2005,7
Korean Air Lines,International,Asia,Enplaned,5646,2005,7
Lufthansa German Airlines,International,Europe,Deplaned,22389,2005,7
Lufthansa German Airlines,International,Europe,Enplaned,20511,2005,7
Mesa Airlines,Domestic,US,Deplaned,2636,2005,7
Mesa Airlines,Domestic,US,Enplaned,2535,2005,7
Mexicana Airlines,International,Mexico,Deplaned,7751,2005,7
Mexicana Airlines,International,Mexico,Enplaned,7845,2005,7
Midwest Airlines,Domestic,US,Deplaned,1797,2005,7
Midwest Airlines,Domestic,US,Enplaned,3238,2005,7
Northwest Airlines (became Delta),Domestic,US,Deplaned,64231,2005,7
Northwest Airlines (became Delta),Domestic,US,Enplaned,62049,2005,7
Northwest Airlines (became Delta),International,Asia,Deplaned,7229,2005,7
Northwest Airlines (became Delta),International,Asia,Enplaned,6554,2005,7
Philippine Airlines,International,Asia,Deplaned,12828,2005,7
Philippine Airlines,International,Asia,Enplaned,10269,2005,7
Singapore Airlines,International,Asia,Deplaned,19211,2005,7
Singapore Airlines,International,Asia,Enplaned,17462,2005,7
SkyWest Airlines,Domestic,US,Deplaned,7262,2005,7
SkyWest Airlines,Domestic,US,Enplaned,6586,2005,7
SkyWest Airlines,Domestic,US,Deplaned,103279,2005,7
SkyWest Airlines,Domestic,US,Enplaned,102023,2005,7
SkyWest Airlines,International,Canada,Deplaned,3688,2005,7
SkyWest Airlines,International,Canada,Enplaned,3633,2005,7
Sun Country Airlines,Domestic,US,Deplaned,4827,2005,7
Sun Country Airlines,Domestic,US,Enplaned,4784,2005,7
"TACA International Airlines, S.A.",International,Central America,Deplaned,6324,2005,7
"TACA International Airlines, S.A.",International,Central America,Enplaned,7031,2005,7
US Airways,Domestic,US,Deplaned,46042,2005,7
US Airways,Domestic,US,Enplaned,45553,2005,7
US Airways,Domestic,US,Deplaned,38951,2005,7
US Airways,Domestic,US,Enplaned,37848,2005,7
United Airlines,Domestic,US,Deplaned,62178,2005,7
United Airlines,Domestic,US,Enplaned,60939,2005,7
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,58767,2005,7
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,58277,2005,7
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,443656,2005,7
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,421802,2005,7
United Airlines - Pre 07/01/2013,Domestic,US,Thru / Transit,11388,2005,7
United Airlines - Pre 07/01/2013,International,Asia,Deplaned,77658,2005,7
United Airlines - Pre 07/01/2013,International,Asia,Enplaned,68278,2005,7
United Airlines - Pre 07/01/2013,International,Asia,Thru / Transit,3953,2005,7
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Deplaned,8603,2005,7
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Enplaned,8234,2005,7
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Thru / Transit,1385,2005,7
United Airlines - Pre 07/01/2013,International,Canada,Deplaned,12874,2005,7
United Airlines - Pre 07/01/2013,International,Canada,Enplaned,12085,2005,7
United Airlines - Pre 07/01/2013,International,Canada,Thru / Transit,10,2005,7
United Airlines - Pre 07/01/2013,International,Europe,Deplaned,30796,2005,7
United Airlines - Pre 07/01/2013,International,Europe,Enplaned,29283,2005,7
United Airlines - Pre 07/01/2013,International,Europe,Thru / Transit,888,2005,7
United Airlines - Pre 07/01/2013,International,Mexico,Deplaned,9537,2005,7
United Airlines - Pre 07/01/2013,International,Mexico,Enplaned,9672,2005,7
United Airlines - Pre 07/01/2013,International,Mexico,Thru / Transit,45,2005,7
Virgin Atlantic,International,Europe,Deplaned,11684,2005,7
Virgin Atlantic,International,Europe,Enplaned,10771,2005,7
WestJet Airlines,International,Canada,Deplaned,2480,2005,7
WestJet Airlines,International,Canada,Enplaned,2211,2005,7
ATA Airlines,Domestic,US,Deplaned,27472,2005,8
ATA Airlines,Domestic,US,Enplaned,26535,2005,8
ATA Airlines,Domestic,US,Thru / Transit,5712,2005,8
Air Canada,International,Canada,Deplaned,34878,2005,8
Air Canada,International,Canada,Enplaned,34105,2005,8
Air China,International,Asia,Deplaned,4204,2005,8
Air China,International,Asia,Enplaned,3923,2005,8
Air France,International,Europe,Deplaned,11230,2005,8
Air France,International,Europe,Enplaned,11731,2005,8
Air New Zealand,International,Australia / Oceania,Deplaned,4672,2005,8
Air New Zealand,International,Australia / Oceania,Enplaned,4006,2005,8
AirTran Airways,Domestic,US,Deplaned,7796,2005,8
AirTran Airways,Domestic,US,Enplaned,7737,2005,8
Alaska Airlines,Domestic,US,Deplaned,40431,2005,8
Alaska Airlines,Domestic,US,Enplaned,39595,2005,8
Alaska Airlines,Domestic,US,Thru / Transit,1902,2005,8
Alaska Airlines,International,Canada,Deplaned,8901,2005,8
Alaska Airlines,International,Canada,Enplaned,9020,2005,8
Alaska Airlines,International,Mexico,Deplaned,7541,2005,8
Alaska Airlines,International,Mexico,Enplaned,9333,2005,8
Alaska Airlines,International,Mexico,Thru / Transit,1902,2005,8
All Nippon Airways,International,Asia,Deplaned,6739,2005,8
All Nippon Airways,International,Asia,Enplaned,5966,2005,8
American Airlines,Domestic,US,Deplaned,162064,2005,8
American Airlines,Domestic,US,Enplaned,157700,2005,8
American Eagle Airlines,Domestic,US,Deplaned,5233,2005,8
American Eagle Airlines,Domestic,US,Enplaned,4866,2005,8
Asiana Airlines,International,Asia,Deplaned,4099,2005,8
Asiana Airlines,International,Asia,Enplaned,3376,2005,8
Atlantic Southeast Airlines,Domestic,US,Deplaned,1735,2005,8
Atlantic Southeast Airlines,Domestic,US,Enplaned,1560,2005,8
BelAir Airlines,International,Europe,Deplaned,353,2005,8
BelAir Airlines,International,Europe,Enplaned,751,2005,8
Boeing Company,Domestic,US,Deplaned,18,2005,8
British Airways,International,Europe,Deplaned,20312,2005,8
British Airways,International,Europe,Enplaned,20084,2005,8
Cathay Pacific,International,Asia,Deplaned,11753,2005,8
Cathay Pacific,International,Asia,Enplaned,9050,2005,8
China Airlines,International,Asia,Deplaned,14610,2005,8
China Airlines,International,Asia,Enplaned,10972,2005,8
Delta Air Lines,Domestic,US,Deplaned,97343,2005,8
Delta Air Lines,Domestic,US,Enplaned,97160,2005,8
EVA Airways,International,Asia,Deplaned,13524,2005,8
EVA Airways,International,Asia,Enplaned,11950,2005,8
Frontier Airlines,Domestic,US,Deplaned,17109,2005,8
Frontier Airlines,Domestic,US,Enplaned,17186,2005,8
Hawaiian Airlines,Domestic,US,Deplaned,7923,2005,8
Hawaiian Airlines,Domestic,US,Enplaned,7751,2005,8
Horizon Air,Domestic,US,Deplaned,5572,2005,8
Horizon Air,Domestic,US,Enplaned,5268,2005,8
Icelandair (Inactive),International,Europe,Deplaned,4691,2005,8
Icelandair (Inactive),International,Europe,Enplaned,4355,2005,8
Independence Air,Domestic,US,Deplaned,9191,2005,8
Independence Air,Domestic,US,Enplaned,9850,2005,8
Japan Airlines,International,Asia,Deplaned,9296,2005,8
Japan Airlines,International,Asia,Enplaned,7913,2005,8
KLM Royal Dutch Airlines,International,Europe,Deplaned,9666,2005,8
KLM Royal Dutch Airlines,International,Europe,Enplaned,9881,2005,8
Korean Air Lines,International,Asia,Deplaned,8856,2005,8
Korean Air Lines,International,Asia,Enplaned,7164,2005,8
Lufthansa German Airlines,International,Europe,Deplaned,21512,2005,8
Lufthansa German Airlines,International,Europe,Enplaned,21881,2005,8
Mesa Airlines,Domestic,US,Deplaned,2725,2005,8
Mesa Airlines,Domestic,US,Enplaned,2546,2005,8
Mexicana Airlines,International,Mexico,Deplaned,7156,2005,8
Mexicana Airlines,International,Mexico,Enplaned,5946,2005,8
Midwest Airlines,Domestic,US,Deplaned,1552,2005,8
Midwest Airlines,Domestic,US,Enplaned,3382,2005,8
Northwest Airlines (became Delta),Domestic,US,Deplaned,56501,2005,8
Northwest Airlines (became Delta),Domestic,US,Enplaned,56674,2005,8
Northwest Airlines (became Delta),International,Asia,Deplaned,7107,2005,8
Northwest Airlines (became Delta),International,Asia,Enplaned,6522,2005,8
Philippine Airlines,International,Asia,Deplaned,12856,2005,8
Philippine Airlines,International,Asia,Enplaned,8718,2005,8
Singapore Airlines,International,Asia,Deplaned,19192,2005,8
Singapore Airlines,International,Asia,Enplaned,17118,2005,8
SkyWest Airlines,Domestic,US,Deplaned,7052,2005,8
SkyWest Airlines,Domestic,US,Enplaned,6652,2005,8
SkyWest Airlines,Domestic,US,Deplaned,102899,2005,8
SkyWest Airlines,Domestic,US,Enplaned,103188,2005,8
SkyWest Airlines,International,Canada,Deplaned,3672,2005,8
SkyWest Airlines,International,Canada,Enplaned,3570,2005,8
Sun Country Airlines,Domestic,US,Deplaned,4720,2005,8
Sun Country Airlines,Domestic,US,Enplaned,4717,2005,8
"TACA International Airlines, S.A.",International,Central America,Deplaned,7357,2005,8
"TACA International Airlines, S.A.",International,Central America,Enplaned,5128,2005,8
US Airways,Domestic,US,Deplaned,42622,2005,8
US Airways,Domestic,US,Enplaned,44508,2005,8
US Airways,Domestic,US,Deplaned,40712,2005,8
US Airways,Domestic,US,Enplaned,40322,2005,8
United Airlines,Domestic,US,Deplaned,61872,2005,8
United Airlines,Domestic,US,Enplaned,61768,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,55842,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,27930,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,56087,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,26098,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Thru / Transit,676,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,420430,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,398135,2005,8
United Airlines - Pre 07/01/2013,Domestic,US,Thru / Transit,11585,2005,8
United Airlines - Pre 07/01/2013,International,Asia,Deplaned,79131,2005,8
United Airlines - Pre 07/01/2013,International,Asia,Enplaned,68861,2005,8
United Airlines - Pre 07/01/2013,International,Asia,Thru / Transit,4059,2005,8
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Deplaned,8903,2005,8
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Enplaned,7874,2005,8
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Thru / Transit,1475,2005,8
United Airlines - Pre 07/01/2013,International,Canada,Deplaned,13895,2005,8
United Airlines - Pre 07/01/2013,International,Canada,Enplaned,12145,2005,8
United Airlines - Pre 07/01/2013,International,Europe,Deplaned,29236,2005,8
United Airlines - Pre 07/01/2013,International,Europe,Enplaned,29920,2005,8
United Airlines - Pre 07/01/2013,International,Europe,Thru / Transit,863,2005,8
United Airlines - Pre 07/01/2013,International,Mexico,Deplaned,9397,2005,8
United Airlines - Pre 07/01/2013,International,Mexico,Enplaned,9275,2005,8
United Airlines - Pre 07/01/2013,International,Mexico,Thru / Transit,78,2005,8
Virgin Atlantic,International,Europe,Deplaned,10685,2005,8
Virgin Atlantic,International,Europe,Enplaned,11072,2005,8
WestJet Airlines,International,Canada,Deplaned,2300,2005,8
WestJet Airlines,International,Canada,Enplaned,2251,2005,8
ATA Airlines,Domestic,US,Deplaned,17341,2005,9
ATA Airlines,Domestic,US,Enplaned,18541,2005,9
ATA Airlines,Domestic,US,Thru / Transit,4412,2005,9
Air Canada,International,Canada,Deplaned,24473,2005,9
Air Canada,International,Canada,Enplaned,26120,2005,9
Air China,International,Asia,Deplaned,4416,2005,9
Air China,International,Asia,Enplaned,4568,2005,9
Air France,International,Europe,Deplaned,10731,2005,9
Air France,International,Europe,Enplaned,11337,2005,9
Air New Zealand,International,Australia / Oceania,Deplaned,4565,2005,9
Air New Zealand,International,Australia / Oceania,Enplaned,4295,2005,9
AirTran Airways,Domestic,US,Deplaned,7057,2005,9
AirTran Airways,Domestic,US,Enplaned,6806,2005,9
Alaska Airlines,Domestic,US,Deplaned,31117,2005,9
Alaska Airlines,Domestic,US,Enplaned,33742,2005,9
Alaska Airlines,Domestic,US,Thru / Transit,3843,2005,9
Alaska Airlines,International,Canada,Deplaned,6635,2005,9
Alaska Airlines,International,Canada,Enplaned,7783,2005,9
Alaska Airlines,International,Canada,Thru / Transit,161,2005,9
Alaska Airlines,International,Mexico,Deplaned,5446,2005,9
Alaska Airlines,International,Mexico,Enplaned,7674,2005,9
Alaska Airlines,International,Mexico,Thru / Transit,1504,2005,9
All Nippon Airways,International,Asia,Deplaned,5875,2005,9
All Nippon Airways,International,Asia,Enplaned,5960,2005,9
American Airlines,Domestic,US,Deplaned,135043,2005,9
American Airlines,Domestic,US,Enplaned,135944,2005,9
American Eagle Airlines,Domestic,US,Deplaned,4240,2005,9
American Eagle Airlines,Domestic,US,Enplaned,4166,2005,9
Asiana Airlines,International,Asia,Deplaned,4792,2005,9
Asiana Airlines,International,Asia,Enplaned,5140,2005,9
BelAir Airlines,International,Europe,Deplaned,108,2005,9
BelAir Airlines,International,Europe,Enplaned,315,2005,9
British Airways,International,Europe,Deplaned,20455,2005,9
British Airways,International,Europe,Enplaned,20635,2005,9
Cathay Pacific,International,Asia,Deplaned,8370,2005,9
Cathay Pacific,International,Asia,Enplaned,9874,2005,9
China Airlines,International,Asia,Deplaned,9154,2005,9
China Airlines,International,Asia,Enplaned,9486,2005,9
Delta Air Lines,Domestic,US,Deplaned,17291,2005,9
Delta Air Lines,Domestic,US,Deplaned,68347,2005,9
Delta Air Lines,Domestic,US,Enplaned,17453,2005,9
Delta Air Lines,Domestic,US,Enplaned,67160,2005,9
EVA Airways,International,Asia,Deplaned,9931,2005,9
EVA Airways,International,Asia,Enplaned,10752,2005,9
Frontier Airlines,Domestic,US,Deplaned,13426,2005,9
Frontier Airlines,Domestic,US,Enplaned,12989,2005,9
Hawaiian Airlines,Domestic,US,Deplaned,7735,2005,9
Hawaiian Airlines,Domestic,US,Enplaned,7624,2005,9
Horizon Air,Domestic,US,Deplaned,4648,2005,9
Horizon Air,Domestic,US,Enplaned,4401,2005,9
Icelandair (Inactive),International,Europe,Deplaned,1996,2005,9
Icelandair (Inactive),International,Europe,Enplaned,1677,2005,9
Independence Air,Domestic,US,Deplaned,5218,2005,9
Independence Air,Domestic,US,Enplaned,5503,2005,9
Japan Airlines,International,Asia,Deplaned,7087,2005,9
Japan Airlines,International,Asia,Enplaned,8264,2005,9
KLM Royal Dutch Airlines,International,Europe,Deplaned,9562,2005,9
KLM Royal Dutch Airlines,International,Europe,Enplaned,9513,2005,9
Korean Air Lines,International,Asia,Deplaned,4344,2005,9
Korean Air Lines,International,Asia,Enplaned,3448,2005,9
Lufthansa German Airlines,International,Europe,Deplaned,20535,2005,9
Lufthansa German Airlines,International,Europe,Enplaned,21379,2005,9
Mesa Airlines,Domestic,US,Deplaned,1781,2005,9
Mesa Airlines,Domestic,US,Enplaned,1751,2005,9
Mexicana Airlines,International,Mexico,Deplaned,3986,2005,9
Mexicana Airlines,International,Mexico,Enplaned,4823,2005,9
Midwest Airlines,Domestic,US,Deplaned,2913,2005,9
Midwest Airlines,Domestic,US,Enplaned,2867,2005,9
Northwest Airlines (became Delta),Domestic,US,Deplaned,48138,2005,9
Northwest Airlines (became Delta),Domestic,US,Enplaned,47061,2005,9
Northwest Airlines (became Delta),International,Asia,Deplaned,5857,2005,9
Northwest Airlines (became Delta),International,Asia,Enplaned,5615,2005,9
Philippine Airlines,International,Asia,Deplaned,8323,2005,9
Philippine Airlines,International,Asia,Enplaned,7875,2005,9
Singapore Airlines,International,Asia,Deplaned,15259,2005,9
Singapore Airlines,International,Asia,Enplaned,14251,2005,9
SkyWest Airlines,Domestic,US,Deplaned,6356,2005,9
SkyWest Airlines,Domestic,US,Enplaned,6666,2005,9
SkyWest Airlines,Domestic,US,Deplaned,96832,2005,9
SkyWest Airlines,Domestic,US,Enplaned,95008,2005,9
SkyWest Airlines,International,Canada,Deplaned,3581,2005,9
SkyWest Airlines,International,Canada,Enplaned,3457,2005,9
Sun Country Airlines,Domestic,US,Deplaned,3686,2005,9
Sun Country Airlines,Domestic,US,Enplaned,3592,2005,9
"TACA International Airlines, S.A.",International,Central America,Deplaned,3790,2005,9
"TACA International Airlines, S.A.",International,Central America,Enplaned,3529,2005,9
US Airways,Domestic,US,Deplaned,35942,2005,9
US Airways,Domestic,US,Enplaned,36632,2005,9
US Airways,Domestic,US,Deplaned,34782,2005,9
US Airways,Domestic,US,Enplaned,34761,2005,9
United Airlines,Domestic,US,Deplaned,50133,2005,9
United Airlines,Domestic,US,Enplaned,49094,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,50351,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,24678,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,50235,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,23767,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Thru / Transit,483,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,357533,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,360563,2005,9
United Airlines - Pre 07/01/2013,Domestic,US,Thru / Transit,8271,2005,9
United Airlines - Pre 07/01/2013,International,Asia,Deplaned,63027,2005,9
United Airlines - Pre 07/01/2013,International,Asia,Enplaned,62403,2005,9
United Airlines - Pre 07/01/2013,International,Asia,Thru / Transit,3163,2005,9
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Deplaned,8048,2005,9
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Enplaned,7750,2005,9
United Airlines - Pre 07/01/2013,International,Australia / Oceania,Thru / Transit,1264,2005,9
United Airlines - Pre 07/01/2013,International,Canada,Deplaned,12095,2005,9
United Airlines - Pre 07/01/2013,International,Canada,Enplaned,10220,2005,9
United Airlines - Pre 07/01/2013,International,Canada,Thru / Transit,10,2005,9
United Airlines - Pre 07/01/2013,International,Europe,Deplaned,28093,2005,9
United Airlines - Pre 07/01/2013,International,Europe,Enplaned,29928,2005,9
United Airlines - Pre 07/01/2013,International,Europe,Thru / Transit,759,2005,9
United Airlines - Pre 07/01/2013,International,Mexico,Deplaned,5191,2005,9
United Airlines - Pre 07/01/2013,International,Mexico,Enplaned,5123,2005,9
United Airlines - Pre 07/01/2013,International,Mexico,Thru / Transit,96,2005,9
Virgin Atlantic,International,Europe,Deplaned,11084,2005,9
Virgin Atlantic,International,Europe,Enplaned,11623,2005,9
WestJet Airlines,International,Canada,Deplaned,2050,2005,9
WestJet Airlines,International,Canada,Enplaned,1997,2005,9
ATA Airlines,Domestic,US,Deplaned,17698,2005,10
ATA Airlines,Domestic,US,Enplaned,19983,2005,10
ATA Airlines,Domestic,US,Thru / Transit,5754,2005,10
Air Canada,International,Canada,Deplaned,22176,2005,10
Air Canada,International,Canada,Enplaned,22780,2005,10
Air China,International,Asia,Deplaned,4329,2005,10
Air China,International,Asia,Enplaned,4715,2005,10
Air France,International,Europe,Deplaned,10515,2005,10
Air France,International,Europe,Enplaned,10796,2005,10
Air New Zealand,International,Australia / Oceania,Deplaned,3178,2005,10
Air New Zealand,International,Australia / Oceania,Enplaned,4766,2005,10
AirTran Airways,Domestic,US,Deplaned,6680,2005,10
AirTran Airways,Domestic,US,Enplaned,6999,2005,10
Alaska Airlines,Domestic,US,Deplaned,29388,2005,10
Alaska Airlines,Domestic,US,Enplaned,33214,2005,10
Alaska Airlines,Domestic,US,Thru / Transit,4159,2005,10
Alaska Airlines,International,Canada,Deplaned,5168,2005,10
Alaska Airlines,International,Canada,Enplaned,6093,2005,10
Alaska Airlines,International,Canada,Thru / Transit,793,2005,10
Alaska Airlines,International,Mexico,Deplaned,5940,2005,10
Alaska Airlines,International,Mexico,Enplaned,9998,2005,10
Alaska Airlines,International,Mexico,Thru / Transit,2773,2005,10
All Nippon Airways,International,Asia,Deplaned,5669,2005,10
All Nippon Airways,International,Asia,Enplaned,6001,2005,10
American Airlines,Domestic,US,Deplaned,138090,2005,10
American Airlines,Domestic,US,Enplaned,138552,2005,10
American Eagle Airlines,Domestic,US,Deplaned,4669,2005,10
American Eagle Airlines,Domestic,US,Enplaned,4524,2005,10
Asiana Airlines,International,Asia,Deplaned,4674,2005,10
Asiana Airlines,International,Asia,Enplaned,5409,2005,10
British Airways,International,Europe,Deplaned,19453,2005,10
British Airways,International,Europe,Enplaned,18988,2005,10
Cathay Pacific,International,Asia,Deplaned,9571,2005,10
Cathay Pacific,International,Asia,Enplaned,11106,2005,10
China Airlines,International,Asia,Deplaned,8919,2005,10
China Airlines,International,Asia,Enplaned,10254,2005,10
Delta Air Lines,Domestic,US,Deplaned,21516,2005,10
Delta Air Lines,Domestic,US,Deplaned,62701,2005,10
Delta Air Lines,Domestic,US,Enplaned,20904,2005,10
Delta Air Lines,Domestic,US,Enplaned,63704,2005,10
EVA Airways,International,Asia,Deplaned,10122,2005,10
EVA Airways,International,Asia,Enplaned,11311,2005,10
Frontier Airlines,Domestic,US,Deplaned,12585,2005,10
Frontier Airlines,Domestic,US,Enplaned,12490,2005,10
Hawaiian Airlines,Domestic,US,Deplaned,7556,2005,10
Hawaiian Airlines,Domestic,US,Enplaned,6962,2005,10
Horizon Air,Domestic,US,Deplaned,4470,2005,10
Horizon Air,Domestic,US,Enplaned,4096,2005,10
Icelandair (Inactive),International,Europe,Deplaned,809,2005,10
Icelandair (Inactive),International,Europe,Enplaned,975,2005,10
Independence Air,Domestic,US,Deplaned,4550,2005,10
Independence Air,Domestic,US,Enplaned,4446,2005,10
Japan Airlines,International,Asia,Deplaned,7147,2005,10
Japan Airlines,International,Asia,Enplaned,7924,2005,10
KLM Royal Dutch Airlines,International,Europe,Deplaned,9383,2005,10
KLM Royal Dutch Airlines,International,Europe,Enplaned,9113,2005,10
Korean Air Lines,International,Asia,Deplaned,4115,2005,10
Korean Air Lines,International,Asia,Enplaned,3812,2005,10
Lufthansa German Airlines,International,Europe,Deplaned,20840,2005,10
Lufthansa German Airlines,International,Europe,Enplaned,19478,2005,10
Mesa Airlines,Domestic,US,Deplaned,1502,2005,10
Mesa Airlines,Domestic,US,Enplaned,1735,2005,10
Mexicana Airlines,International,Mexico,Deplaned,5011,2005,10
Mexicana Airlines,International,Mexico,Enplaned,7101,2005,10
Miami Air International,International,Canada,Deplaned,28,2005,10
Midwest Airlines,Domestic,US,Deplaned,1594,2005,10
Midwest Airlines,Domestic,US,Enplaned,2984,2005,10
Northwest Airlines (became Delta),Domestic,US,Deplaned,46907,2005,10
Northwest Airlines (became Delta),Domestic,US,Enplaned,48977,2005,10
Northwest Airlines (became Delta),International,Asia,Deplaned,6229,2005,10
Northwest Airlines (became Delta),International,Asia,Enplaned,6559,2005,10
Philippine Airlines,International,Asia,Deplaned,11573,2005,10
Philippine Airlines,International,Asia,Enplaned,10360,2005,10
Singapore Airlines,International,Asia,Deplaned,14694,2005,10
Singapore Airlines,International,Asia,Enplaned,17250,2005,10
SkyWest Airlines,Domestic,US,Deplaned,6658,2005,10
SkyWest Airlines,Domestic,US,Enplaned,6553,2005,10
SkyWest Airlines,Domestic,US,Deplaned,102254,2005,10
SkyWest Airlines,Domestic,US,Enplaned,101134,2005,10
SkyWest Airlines,International,Canada,Deplaned,3719,2005,10
SkyWest Airlines,International,Canada,Enplaned,3508,2005,10
Sun Country Airlines,Domestic,US,Deplaned,3508,2005,10
Sun Country Airlines,Domestic,US,Enplaned,3448,2005,10
"TACA International Airlines, S.A.",International,Central America,Deplaned,3527,2005,10
"TACA International Airlines, S.A.",International,Central America,Enplaned,4037,2005,10
US Airways,Domestic,US,Deplaned,38737,2005,10
US Airways,Domestic,US,Enplaned,37680,2005,10
US Airways,Domestic,US,Deplaned,36058,2005,10
US Airways,Domestic,US,Enplaned,34562,2005,10
United Airlines,Domestic,US,Deplaned,52157,2005,10
United Airlines,Domestic,US,Enplaned,52204,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,56427,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,24678,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,56155,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,23767,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Thru / Transit,483,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Deplaned,355551,2005,10
United Airlines - Pre 07/01/2013,Domestic,US,Enplaned,355445,2005,10
